अध्यायः,वक्ता,विषयः,श्लोकः,Page,Ketu,Matter,#,Match?,External,
केत्वद्भुतावर्तः,गर्गः,शनैश्चरपुत्रान्,सुस्निग्धा रश्मिसंयुक्ता द्विशिखाः सिततारकाः। षष्टिस्ते कनका घोराः शनैश्चरसुता ग्रहाः॥९०,267,शनिपुत्रा,60,,,,
केत्वद्भुतावर्तः,वराहसंहिता,शनैश्चरपुत्रान्,स्निग्धाः प्रभासमेता द्विशिखा: षष्टि: शनैश्चाराङ्गरुहा: ॥९१,267,शनिपुत्रा,,,,स्निग्धाः प्रभासमेता द्विशिखाः षष्टिः शनैश्चराङ्गरुहाः। अतिकष्टफला दृश्याः सर्वत्रैते कनकसंज्ञाः॥18॥,
केत्वद्भुतावर्तः,अथर्वमुनिः,राहुपुत्रान्,कृष्णाभा कृष्णपर्यन्ताः कलुषाकृतिरश्मय: | राहुपुत्रास्त्रयस्त्रिंशत् कीलकाश्चातिदारुणा:॥९२,267,राहुपुत्रा,,,,,
केत्वद्भुतावर्तः,वराहसंहिता,राहुपुत्रान्, त्रिंशत्यधिका राहोस्ते तामसकीलका इति ख्याता: | रविशशिगा दृश्यन्ते तेषां फलमर्कचारोक्तम् ||९३,267,राहुपुत्रा,,,,त्रिंशत्यधिका राहोस्ते तामसकीलका इति ख्याताः। रविशशिगा दृश्यन्ते तेषां फलमर्कचारोक्तम्॥22॥,
केत्वद्भुतावर्तः,वराहसंहिता,राहुपुत्रान्,तामसकीलकसंज्ञा राहुसुता: केतवस्त्रयस्त्रिंशत् | ते चार्कमण्डलगता: पापफलाश्चन्द्र्मण्डले सौम्या: || ध्वाङ्क्षकबन्धप्रहरणरूपा: पापा: शशाङ्केऽपि  ||९४,267,राहुपुत्रा,,,,त्रिंशत्यधिका राहोस्ते तामसकीलका इति ख्याताः। रविशशिगा दृश्यन्ते तेषां फलमर्कचारोक्तम्॥22॥,
केत्वद्भुतावर्तः,वराहसंहिता,कालसुताः,षण्णवतिः कालसुताः कबन्धसंज्ञा: कबन्धसंस्थाना:| पुण्ड्रा भयप्रदा: स्युर्विरूपताराश्च ते शिखिना:॥९५,268,कालसुता,,,,षण्णवतिः कालसुताः कबन्धसञ्ज्ञाः कबन्धसंस्थानाः। पुण्ड्राभयप्रदाः स्युर्विरूपताराश्च ते शिखिनः॥27॥,
केत्वद्भुतावर्तः,अथर्वमुनिः,कालसुताः,पुण्ड्रताराः कबन्धाः स्यू रूक्षा: भस्मरष्मय: | कालपुत्रा: कबन्धास्ते स्मृता: षण्णवतिर्ग्रहा:॥९६,268,कालसुता,,,,,
केत्वद्भुतावर्तः,गर्गः,कालसुताः,पुण्ड्रतारा विरूपाश्च कबन्धाकृतिसंज्ञिताः। पीतारुणसवर्णाश्च भस्मकर्बुररश्मयः॥९७,268,कालसुता,,,,,
केत्वद्भुतावर्तः,गर्गः,कालसुताः,कालपुत्राः कबन्धाश्च नवतिः षट् च ते स्मृताः। लोके मृत्युकरा घोरा भवन्त्यशुभदर्शनाः॥९८,268,कालसुता,96,,,,
केत्वद्भुतावर्तः,वराहसंहिता,मृत्युसुताः,वक्रशिखा मृत्युसुताः कृष्णा रूक्षाश्च तेऽपि तावन्त: | दृश्यन्ते याम्यायां जनमरकावेदिनास्ते च ॥९९,268,मृत्युसुता,,,,वक्रशिखा मृत्युसुता रूक्षाः कृष्णाश्च तेऽपि तावन्तः। दृश्यन्ते याम्यायां जनमरकावेदिनस्ते च॥12॥,
केत्वद्भुतावर्तः,गर्गः,मृत्युसुताः,रूक्षाः कृष्णा वक्रशिखा दृश्यन्ते याम्यदिक्स्थताः। पञ्चविंशा मृत्युसुताः प्रजानां भयकारिणः॥१००,269,मृत्युसुता,25,,,,
केत्वद्भुतावर्तः,वराहसंहिता,अग्निपुत्राः,शुकदहनबन्धुयावकल्लक्षाक्षतजोपमा  हुताशसुता: | आग्नेय्यां दृश्यन्ते तावन्तस्तेऽपि शिखिभयदा:॥१०१,269,अग्निपुत्रा,,,,शुकदहनबन्धुजीवकलाक्षाक्षतजोपमा हुताशसुताः। आग्नेय्यां दृश्यन्ते तावन्तस्तेऽपि शिखिभयदाः।।11॥,
केत्वद्भुतावर्तः,गर्गः,अग्निपुत्राः,अग्निपुत्रा ग्रहा ज्ञेयास्तत्राग्निभयवेदिनः। आग्नेया दिशि दृश्यन्ते लोकिताः पञ्चविंशतिः॥१०२,269,अग्निपुत्रा,25,,,,
केत्वद्भुतावर्तः,अथर्वमुनिः,अन्ये विश्वरूपसंज्ञाः अग्निपुत्राः,नानावर्णाग्निसङ्काशा ज्वालामाला विसर्पिन: | विश्वरूपा: सुता अग्नेर्ग्रहा विंशच्छतं स्मृता:॥१०३,269,विश्वरूपसंज्ञा,,,,,
केत्वद्भुतावर्तः,गर्गः,अन्ये विश्वरूपसंज्ञाः अग्निपुत्राः,नानावर्णाग्निसंकाशाः दीप्तिमन्तो विशालिनः। सृजन्त्यग्निमिवाकाशे सर्वज्योतिर्विनाशनाः॥१०४,269,विश्वरूपसंज्ञा,,,,,
केत्वद्भुतावर्तः,गर्गः,अन्ये विश्वरूपसंज्ञाः अग्निपुत्राः,तेऽप्यग्निपुत्रा विज्ञेयास्तीव्राग्निभयवेदिनः। विंशद्ग्रहशतं घोरं विश्वरूपेति नामतः॥१०५,270,विश्वरूपसंज्ञा,120,,,,
केत्वद्भुतावर्तः,वराहसंहिता,अन्ये विश्वरूपसंज्ञाः अग्निपुत्राः,विंशत्याऽधिकमन्यच्छतमग्नेर्विश्वरूपसंज्ञानाम् | तीव्रानलभयदानां ज्वालामालाकुलतनूनाम् ॥१०६,270,विश्वरूपसंज्ञा,,,,विंशत्याधिकमन्यच्छतमग्नेर्विश्वरूपसंज्ञानाम्। तीव्रानलभयदानां ज्वालामालाकुलतनूनाम्॥23॥,
केत्वद्भुतावर्तः,अथर्वमुनिः,वरुणपुत्राः,वंशगुल्मप्रतीकाशा श्चन्द्ररश्मिसरश्मय: | शुकतुण्डनिभैश्चापि रश्मिभि: किञ्चिदाव्रुता: ॥१०७,270,विरुणपुत्राः,,,,,
केत्वद्भुतावर्तः,अथर्वमुनिः,वरुणपुत्राः,उदयेऽहः सृजन्तीव स्निग्धत्वात् सौम्यदर्शनात् | एते नाम्ना स्मृता: कङ्का द्वात्रिंशद्दारुणा ग्रहा:॥१०८,270,विरुणपुत्राः,,,,,
केत्वद्भुतावर्तः,वराहसंहिता,वरुणपुत्राः,कङ्का नाम वरुणजा द्वात्रिशद्वंशगुल्मसंस्थाना: | शशिवत्प्रभासमेतास्तीव्रफला: केतव: प्रोक्ता:॥१०९,270,विरुणपुत्राः,,,,कङ्कानाम वरुणजा द्वात्रिंशद्वंशगुल्मसंस्थानाः। शशिवत्प्रभासमेतास्तीव्रफलाः केतवः प्रोक्ताः॥26॥,
केत्वद्भुतावर्तः,गर्गः,वरुणपुत्राः,वंशगुल्मप्रतीकाशा बृहन्तश्चारुरश्मयः। कीरतुण्डनिभैर्युक्ता रश्मिभिस्तेऽतिदारुणाः॥११०,270,वरुणपुत्राः,,,,,
केत्वद्भुतावर्तः,गर्गः,वरुणपुत्राः,उदयेऽहः सृजन्तीव स्निग्धत्वात् सौम्यदर्शनाः। एते कष्टफलाः कङ्का द्वात्रिंशद्दारुणा ग्रहाः॥१११,271,वरुणपुत्राः,32,,,,
केत्वद्भुतावर्तः,अथर्वमुनिः,वायुपुत्राः,अरुणास्तु सुता वायोः परुषा: सप्तसप्तति:| वातेरिता भ्रमन्तीव रूक्षा: विस्तीर्णरश्मय: ||११२,271,वायुपुत्राः,,,,,
केत्वद्भुतावर्तः,वराहसंहिता,वायुपुत्राः,श्यामारुणा वितारा धूसररूपा विकीर्णदीधितय: । अरुनणाख्या वायुसुता: पापफला: सप्तसप्तति: परुषा:॥११३,271,वायुपुत्राः,,,,श्यामारुणा विताराश्चामररूपा विकीर्णदीधितयः। अरुणाख्या वायोः सप्तसप्ततिःपापदाः परुषाः॥24॥,
केत्वद्भुतावर्तः,गर्गः,वायुपुत्राः,अताररूपप्रतिमा धूम्रवर्णाः सवर्णिनः। वातरूपा इवाभान्ति शुष्कविस्तीर्णरश्मयः॥११४,271,वायुपुत्राः,,,,,
केत्वद्भुतावर्तः,गर्गः,वायुपुत्राः,सप्ततिः सप्तचैवान्ये वायोः पुत्राः प्रकीर्तिताः। लोकविध्वंसनाः रूक्षा नामतस्त्वरुणा ग्रहाः॥११५,271,वायुपुत्राः,77,,,,
केत्वद्भुतावर्तः,अथर्वमुनिः,प्रजापतिपुत्राः,तारापुञ्जप्रतीकाशास्तारामण्डलमण्डिताः। प्राजापत्या ग्रहास्त्वष्टौ गणका नाम नामतः॥११६,272,प्रजापतिपुत्राः,,,,,
केत्वद्भुतावर्तः,वराहसंहिता,प्रजापतिपुत्राः,तारापुञ्जनिकाशा  गणका नाम प्रजापतेरष्टौ॥११७,272,प्रजापतिपुत्राः,,,,तारापुञ्जनिकाशा गणका नाम प्रजापतेरष्टौ। द्वे च शते चतुरधिके चतुरस्रा ब्रह्मसन्तानाः॥25॥,
केत्वद्भुतावर्तः,गर्गः,प्रजापतिपुत्राः,तारापुञ्जप्रतीकाशास्तारामण्डलमण्डिताः। प्रजापतेर्ग्रहास्वष्टौ गणका भयवेदिनः॥११८,272,प्रजापतिपुत्राः,,,,,
केत्वद्भुतावर्तः,गर्गः,ब्रह्मसुतः,एको ब्रह्मसुतः क्रूरस्त्रिवर्णस्त्रिशिखान्वितः। सर्वास्वाशासु दृश्येत ब्रह्मदण्डो भयावहः॥११९,272,ब्रह्मसुतः,1,,,,
केत्वद्भुतावर्तः,वराहसंहिता,ब्रह्मसुतः,ब्रह्मसुत एक एव त्रिशिखो वर्णैस्त्रिभिर्युगान्तकर:। अनियतदिक्प्रभवोऽसौ विज्ञेयो ब्रह्मदण्डाख्य: ॥१२०,272,ब्रह्मसुतः,,,,ब्रह्मसुत एक एव त्रिशिखो वर्णस्त्रिभिर्युगान्तकरः। अनियतदिक्सम्प्रभवो विज्ञेयो ब्रह्मदण्डाख्यः॥15॥,
केत्वद्भुतावर्तः,अथर्वमुनिः,ब्रह्मसन्तानाः,ब्रह्मसन्तानका नाम द्वे शते चतुरुत्तरे ।१२१,273,ब्रह्मसन्तानाः,,,,,
केत्वद्भुतावर्तः,वराहसंहिता,ब्रह्मसन्तानाः,द्वे शते चतुरधिके चतुरस्रा ब्रह्मसन्तानाः।१२२,273,ब्रह्मसन्तानाः,,,,तारापुञ्जनिकाशा गणका नाम प्रजापतेरष्टौ। द्वे च शते चतुरधिके चतुरस्रा ब्रह्मसन्तानाः॥25॥,
केत्वद्भुतावर्तः,गर्गः,ब्रह्मसन्तानाः,चुतरस्राख्यस्रा वा सोष्णीषा रूप्यरश्मयः। द्वे शते चतुरश्चैव ब्रह्मजातसुतास्तथा ॥१२३,273,ब्रह्मसन्तानाः,204,,,,
केत्वद्भुतावर्तः,वराहसंहिता,विदिक्पुत्राः,शुक्ला विपुलैकतारा नव विदिशां केतवः समुत्पन्नाः।१२४,273,विदिक्पुत्राः,,,,??,
केत्वद्भुतावर्तः,गर्गः,विदिक्पुत्राः,शुक्लैकतारा विपुला विदिक्पुत्रा नव ग्रहाः। विदिशासु स्थिता ह्येते दृश्यन्ते भयदायकाः॥१२५,273,विदिक्पुत्राः,10,,,,
केत्वद्भुतावर्तः,वराहसंहिता,भूमिसुताः,दर्पणवृत्ताकारा विशिखा: किरणान्विता: धरातनया:। क्षुद्भयदा द्वाविंशतिरैशान्यामम्बुतैलनिभा: ॥१२६,273,भूमिसुताः,,,,दर्पणवृत्ताकारा विशिखाः किरणान्विता धरातनयाः। क्षुद्भयदा द्वाविंशतिरैशान्यामम्बुतैलनिभाः॥13॥,
केत्वद्भुतावर्तः,गर्गः,भूमिसुताः,समस्तवृत्ता विशिखा रश्मिभिः परिवारिताः। अम्बुतैलप्रतीकाशा द्वाविंशद्ध्भूसुताः स्मृताः। ऐशान्यां दृश्यन्ते दुर्भिक्षभयदास्तु ते ॥१२७,274,भूमिसुताः,22,,,,
केत्वद्भुतावर्तः,गर्गः,सहस्रकेतवः,इति गर्गोक्तसहस्रकेतवः।,274,सहस्रकेतवः,947,,,,
केत्वद्भुतावर्तः,अथर्वमुनिः,अपरानेकविंशतिजातीयान् पञ्चत्रिंशदधिकपञ्चशतकेतवः,-  ॥,274,अपरानेकविंशतिजातीयान् पञ्चत्रिंशदधिकपञ्चशतकेतवः,,,,,
केत्वद्भुतावर्तः,अथर्वमुनिः,भृगुपुत्राः,अर्चिष्मांश्च प्रभासश्च रोमशो विषमस्तथा। अष्टकश्चातिकायश्च किंशुको राजशीर्षक:  ॥१२८,274,भृगुपुत्राः,,,,,
केत्वद्भुतावर्तः,अथर्वमुनिः,भृगुपुत्राः,ऋषभैरावतौ चैव कुमुदः फेनको घनः । ऐशानश्चेति विज्ञेयास्तारात्रयविसर्पका: ॥ नक्षत्रा वारुणा ह्येते भ्रुगुपुत्रश्चतुर्दश ।१२९,274,भृगुपुत्राः,,,,,
केत्वद्भुतावर्तः,अथर्वमुनिः,वायुसुताः,पाण्डुराभिः सुदीर्घाभि: शिखाभि: शीतरश्मिभि: । मिश्रीभूतास्तु विज्ञेय कुण्डिता इव रेणुभि:॥ अतिसन्तानकास्त्वन्ये षष्टिर्वायो: सुता ग्रहा: ।१३०,274,वायुसुताः,,,,,
केत्वद्भुतावर्तः,अथर्वमुनिः,धूमकेतुसुताः,विकेशकाः प्रकाशन्ते कृष्णलोहितरश्मय: । मिश्रीभूतास्तु ते ज्ञेया कुण्डिता इव रेणुना॥ धूमकेतो: सुता घोरा: शतमेकाधिकं च यत् ।१३१,274,धूमकेतुसुताः,,,,,
केत्वद्भुतावर्तः,अथर्वमुनिः,अनूरुपुत्राः,अत्यर्थकरकास्त्वन्ये प्रतप्तकनकप्रभा: । अनूरुपुत्रका: षष्टी रात्रिका मध्यचारिण:॥१३२,275,अनूरुपुत्राः,,,,,
केत्वद्भुतावर्तः,अथर्वमुनिः,व्यालपुत्राः,येतु नक्षत्रवर्गस्य भागमुत्तरमाश्रिता:। एकतारा वपुष्मन्तो महाकाया: प्रभान्विता: ॥१३३,275,व्यालपुत्राः,,,,,
केत्वद्भुतावर्तः,अथर्वमुनिः,व्यालपुत्राः,व्यालकस्य तु ते पुत्राः सप्तषष्टि: समन्तत: । नामतो विकचा नाम तन्त्रज्ञै: परिकीर्तिता:॥१३४,275,व्यालपुत्राः,,,,,
केत्वद्भुतावर्तः,अथर्वमुनिः,ब्रह्मराशिपुत्राः,सन्तानकनिभा ये तु दृश्यन्ते सूक्ष्मरश्मय:। एकतारा द्विताराश्च अथवा पञ्चतारका: ॥१३५,275,ब्रह्मराशिपुत्राः,,,,,
केत्वद्भुतावर्तः,अथर्वमुनिः,ब्रह्मराशिपुत्राः,ब्रह्मराशेस्तु ते पुत्रा ग्रहास्तस्थानसंस्थिता:। सञ्चरन्ति नभ: सर्वमुत्पन्ने पुरुषक्षये ॥१३६,275,ब्रह्मराशिपुत्राः,,,,,
केत्वद्भुतावर्तः,अथर्वमुनिः,प्रजापतिसुताः,अणवो लोहितास्त्वन्ये प्रकाशन्ते विकेशका:। कनका: पञ्चषष्टिस्ते प्रजापत्या ग्रहा: स्मृता:॥१३७,275,प्रजापतिसुताः,,,,,
केत्वद्भुतावर्तः,अथर्वमुनिः,आदित्यादिसप्तग्रहपरिवेषमण्डलगताः,पारिवेषेषु जातेषु ग्रहाणां मण्डलेषु च । दृश्यन्ते कार्मुका नाम सप्तान्ये ते समाश्रिताः॥१३८,276,आदित्यादिसप्तग्रहपरिवेषमण्डलगताः,,,,,
केत्वद्भुतावर्तः,अथर्वमुनिः,अधर्मसम्भवाः,अधर्मसम्भवास्त्वन्ये चतुर्दश समाश्रिताः। अध:शिखा: प्रकाशन्ते विवर्णा घोरतारका:  ॥१३९,276,अधर्मसम्भवाः,,,,,
केत्वद्भुतावर्तः,अथर्वमुनिः,राहुपुत्राः,कर्णच्छिद्रप्रतीकाशाः कृष्णास्ते तारकाकृतौ। कीलका राहुपुत्राश्च चन्द्रसूर्यतलाश्रया:॥१४०,276,राहुपुत्राः,,,,,
केत्वद्भुतावर्तः,अथर्वमुनिः,राहुपुत्राः,वज्रः कबन्धस्त्रिशिखः शङ्खो भेरी खगो धनु:। दण्ड: श्वा राहुपुत्रास्ते नव ते तुल्यवर्चस:॥१४१,276,राहुपुत्राः,,,,,
केत्वद्भुतावर्तः,अथर्वमुनिः,राहुपुत्राः,सदा सोमार्कयोर्ह्येते मण्डलाभ्याससेविन:। राजान्यत्वाय दृश्यन्ते प्रजानाम् संक्षयय च ॥१४२,276,राहुपुत्राः,,,,,
केत्वद्भुतावर्तः,अथर्वमुनिः,राहुपुत्राः,तत्र मन्दफला ज्ञेयाः शशाङ्कतलसेविन: । दिवाकरतलाभ्याससेविनो भ्रुशदारुणा:॥१४३,276,राहुपुत्राः,,,,,
केत्वद्भुतावर्तः,अथर्वमुनिः,दिक्पुत्राः,पन्नगाख्याश्चतुर्विंशद्वात्रिंशत् कृष्णका ग्रहा: । विंशति: सप्त च श्वेता अरुणा विंशतिर्ग्रहा:॥१४४,276,दिक्पुत्राः,,,,,
केत्वद्भुतावर्तः,अथर्वमुनिः,दिक्पुत्राः,दक्षिणाद्यासु वीक्ष्यन्ते नीचैर्विभ्रान्तमण्डला:। केवलं तारकाकारा दृश्यन्ते निष्प्रभाग्रहा:॥१४५,277,दिक्पुत्राः,,,,,
केत्वद्भुतावर्तः,अथर्वमुनिः,दिक्पुत्राः,पीतरक्ता ग्रहाः पञ्च पूर्वदक्षिणत: स्मृता: । दक्षिणापरतश्चापि पीतरक्तौ ग्रहौ स्मृतौ॥१४६,277,दिक्पुत्राः,,,,,
केत्वद्भुतावर्तः,अथर्वमुनिः,दिक्पुत्राः,उत्तरापरतस्त्वेकः पीतरक्तो ग्रह: स्मृत: । ऐशान्यां श्वेतरक्ताभ एकस्तिष्ठति सूर्यभ:॥१४७,277,दिक्पुत्राः,,,,,
केत्वद्भुतावर्तः,अथर्वमुनिः,दिक्पुत्राः,येः सान्ध्यवेलास्वर्काभो दिक्षु सर्वासु दृश्यते । नातिदूरं च वै स्निग्ध: स वर्षाभयदायक:  ॥१४८,277,दिक्पुत्राः,,,,,
केत्वद्भुतावर्तः,अथर्वमुनिः,मृत्युनिश्श्वासजाः,मृत्योर्निश्श्वासजाश्चान्ये ज्ञेयाः षोडष केतवः। कूष्माण्डविम्बवत्संस्था निर्दिष्टा दक्षिणे पथि॥१४९,277,,,,,,
केत्वद्भुतावर्तः,अथर्वमुनिः,आदित्यजाः,एकादशैव विज्ञेया द्वादशादित्यसम्भवा: । सूर्यचन्द्रनिरीक्ष्यास्ते तेजोधातुमया ग्रहा: ॥१५०,277,,,,,,
केत्वद्भुतावर्तः,अथर्वमुनिः,रुद्रक्रोधजाः,दक्षयज्ञे तु रुद्रस्य क्रोधादन्ये तु नि:सृता। भीमरूपा दशैकश्च जालाङ्कुशधरास्तथा ॥१५१,278,,,,,,
केत्वद्भुतावर्तः,अथर्वमुनिः,पैतामहाः,सप्तपैतामहाश्चान्ये निर्याता जर्जरा ग्रहा:। शिखा: सृजन्तो विनताततशुक्लपटोपमा: ॥१५२,278,,,,,,
केत्वद्भुतावर्तः,अथर्वमुनिः,औद्दालकसुताः,श्वेताः केतव इत्यन्ये व्याख्याता दश पञ्च च । उद्दालकॠषे: पुत्रास्ते नीचैर्भ्रान्तमण्डला:॥ ते तु श्वेतशिखा: सर्वे सौम्याकारास्तनुप्रभा: ।१५३,278,,,,,,
केत्वद्भुतावर्तः,अथर्वमुनिः,अमृतजाः,चतुर्दशेन्दुना सार्द्धं मथ्यमाने पुराऽमृते। केतव: कुन्दपुष्पाभा: क्षीरोदार्णवसम्भवा: ॥१५४,278,,,,,,
केत्वद्भुतावर्तः,अथर्वमुनिः,अमृतजाः,विरश्मयस्ते विशिखा ह्रस्वकाया निरर्चिष:। रौप्यकुन्दनिभा: सौम्या ग्रहस्ते सिततेजस:॥१५५,278,,,,,,
केत्वद्भुतावर्तः,अथर्वमुनिः,ब्रह्मकोपजाः,ब्रह्मकोपभवस्त्वेको विश्वात्मा सबलो ग्रह:। चतुर्युगान्ते लोकानामुदयस्तस्य दृश्यते ॥१५६,278,,,,,,
केत्वद्भुतावर्तः,अथर्वमुनिः,नाभसाः,नक्षत्रपथमुत्सृज्य नाभसा: पार्श्वचारिण: । पूर्वतोऽभ्युदिता वा स्यूर्नीचैरुत्तरस्तथा॥१५७,279,,,,,,
केत्वद्भुतावर्तः,अथर्वमुनिः,नाभसाः,याम्याद्यभ्युदिता वा स्युर्ह्रस्वाः स्नेहपरिप्लुताः। सर्व एव तु विज्ञेया ग्रहा मन्दफलोदया:॥१५८,279,,,,,,
केत्वद्भुतावर्तः,अथर्वमुनिः,फलनिर्णयः,सर्वेषां पैतृकं रूपं प्रजाभग्योद्भवं भवेत्। तत्कर्मजन्ममाहात्म्यशीलाभिजनमेव च ॥१५९,279,,,,,,
केत्वद्भुतावर्तः,अथर्वमुनिः,फलनिर्णयः,तद्रूपांस्तद्गुणांश्चापि तद्देशांस्तत्परिग्रहान् । सर्व एव क्षुधारोगमृत्युशस्त्राग्नितस्करै:॥१६०,279,,,,,,
केत्वद्भुतावर्तः,अथर्वमुनिः,फलनिर्णयः,पशुशस्योपघातैश्च हन्युरन्यैश्च कारणै: । धूपनात् स्पर्शनात् स्थानादुदयादस्तसम्भवात् ॥१६१,279,,,,,,
केत्वद्भुतावर्तः,अथर्वमुनिः,फलनिर्णयः,हन्यु: पञ्चविधा: सर्वे केतवो नात्र संशय:। सुक्रादीनां च चे पुत्रा: ग्रहाणां परिकीर्त्तिता:॥१६२,279,,,,,,
केत्वद्भुतावर्तः,अथर्वमुनिः,फलनिर्णयः,तेषां बीजानि जानीयात् पितृभ्योऽभ्यधिकानि च । मृत्यो: कालस्य सूर्यस्य ब्रह्मणस्त्रयम्बकस्य च॥१६३,279,,,,,,
केत्वद्भुतावर्तः,अथर्वमुनिः,फलनिर्णयः,भौमस्य राहोरग्नेश्च ग्रहा वायोश्च दारुणा: । प्रजापतेरधर्मस्य सोमस्य वरुणस्य च ॥१६४,279,,,,,,
केत्वद्भुतावर्तः,अथर्वमुनिः,फलनिर्णयः,दिशां च विदिशां पुत्राः विज्ञेया मृदुदारुणा:। कश्यपस्य च मारीचेरुद्दालकॠषेस्तथा॥ पुत्रा मन्दफला ज्ञेया: सौम्या अमृतसम्भवा: ॥१६५,279,,,,,,
केत्वद्भुतावर्तः,पराशरः,एकादशजातय एकोत्तरशतं,शतमेकोत्तरं केतूनां भवति तेषां षोडशमृत्युनिश्श्वासजाः। द्वादशादित्यसम्भवाः। दश दक्षयज्ञविलयेन रुद्रक्रोधजाः। षट् पैतामहाः। पञ्चादश क्रुद्धोद्दालकसुताः। पञ्च प्रजापतेर्हासजाः। सप्तदशमारीचिकश्यपललाटजाः। त्रयो विभावसुजाः। चतुर्दश मथ्यमाने समुद्रे सोमेन सह सम्भूताः। धूमोद्भव एकः। एकस्तु ब्रह्मकोपज इति॥१६६,280,,101,,,end of p51,
केत्वद्भुतावर्तः,वृद्धगर्गः,औरसा द्वादशादित्यसम्भवा एकादश केतवो। रुद्रक्रोधजाश्चैकादशेति,मृत्योर्निश्श्वासजास्तेषां केतवः षोडश स्मृतः। एकादश च विज्ञेया द्वादशादित्यसम्भवाः॥१६७,280,VGJ,,28,,मृत्योर्निश्श्वासजास्तेषां केतवः षोडश स्मृताः । एकदेशे च विज्ञ्येया द्वादशादित्यसम्भवाः ॥७॥,
केत्वद्भुतावर्तः,वृद्धगर्गः,औरसा द्वादशादित्यसम्भवा एकादश केतवो। रुद्रक्रोधजाश्चैकादशेति,दक्षयज्ञे तु रुद्रस्य क्रोधादन्ये विनिस्सृताः। एकादशैते विख्यातः(ताः) सप्त पैतामहाः स्मृताः॥१६८,280,,,18,,दक्षयज्ञे तु रुद्रस्य क्रोधाद्ये चापि निस्सृताः । केतवस्ते दशैकश्च सप्तपैतामहाः स्मृताः ॥८॥,
केत्वद्भुतावर्तः,वृद्धगर्गः,औरसा द्वादशादित्यसम्भवा एकादश केतवो। रुद्रक्रोधजाश्चैकादशेति,ऋषेरुद्दालकस्यापि पुत्रा दश च पञ्च च। ते च यौवनसंवृद्धाः श्वेतकेतुत्वमागताः॥१६९,281,,,15,,ऋषेरुद्दालकश्चापि पुत्राश्च दश पञ्च च । ते तपोबल-संवृद्धाः श्वेतकेतुत्वमागताः ॥९॥,
केत्वद्भुतावर्तः,वृद्धगर्गः,औरसा द्वादशादित्यसम्भवा एकादश केतवो। रुद्रक्रोधजाश्चैकादशेति,तथा (कः) प्रजापतेर्हासात् (तु) केतवः पञ्च निस्सृताः। षोडशैकश्च मारीचि(चेः) कश्यपस्य ललाटजाः॥१७०,281,,,22,,षोडशैकश्च मारीचेः कश्यपस्य ललाटजाः । कः प्रजापतिहासात् तु केतवः पञ्च निस्सृताः ॥१०॥858,
केत्वद्भुतावर्तः,वृद्धगर्गः,औरसा द्वादशादित्यसम्भवा एकादश केतवो। रुद्रक्रोधजाश्चैकादशेति,अग्निपुत्रास्त्रयस्तेषां केतवस्तिग्मतेजसः। सप्त पञ्च च द्वौ चाब्धेर्मथ्यमाने तदामृते ॥१७१,281,,,3,,अन्तकश्चोग्ररूपश्च क्रोधाच्चैकोऽभिनिस्सृताः । अग्निपुत्रास्त्रयः प्रोक्ताः केतवस्तिग्मतेजसः ॥११॥,
केत्वद्भुतावर्तः,वृद्धगर्गः,औरसा द्वादशादित्यसम्भवा एकादश केतवो। रुद्रक्रोधजाश्चैकादशेति,सोमेन सह सम्भूताः केतवो मध्यतः स्मृताः। अन्तकस्योग्ररूपस्य क्रोधादेको विनिस्सृतः॥१७२,281,,,19,,पञ्च सप्त च द्वौ चान्यौ मथ्यमाने तदाऽमृते । सोमेन सह संम्भूताः पञ्च चान्ये तथा पराः ॥१२॥,
केत्वद्भुतावर्तः,वृद्धगर्गः,औरसा द्वादशादित्यसम्भवा एकादश केतवो। रुद्रक्रोधजाश्चैकादशेति,धूमकेतुरिति ख्यातो ब्रह्मकोपात् तथापरः।१७३,281,,,1?,,दारुणं कुरुते कर्म प्रजाक्षयकरं महत् । प्रदोषे पश्चिमे चैव ब्रह्मकोपस्य चापरः ॥१८९॥,
केत्वद्भुतावर्तः,वृद्धगर्गः,प्रत्येकानां नामानि (एतेषामेकादश जातीनां नामेकोत्तरशतकेतूनां प्रत्येकं नामान्याह वृद्धगर्गः),अतः परं प्रवक्ष्यामि केतूनां नामनिश्चयम्। विस्तरेण यथाशास्त्रं ब्रुवतो मे निबोधत॥१७४,281,Enumeration,,101,,एकोत्तरशतं प्रोक्तं केतूनां समुदाहृतम् । तेषां चारं च रूपं च विस्तरेण निबोधत॥१३॥,
केत्वद्भुतावर्तः,वृद्धगर्गः,मृत्युपुत्राः,दरः स्तब्दः क्ष(श्र)मो मोहः श्यावः सर्वोऽत्य(सर्वार्थ)यस्तथा। पराशर(सरयाश)स्तमो वृष्टिः शोषणोतिप्रभञ्जकः॥१७५,281,"दरः, स्तब्दः, क्षमो, मोहः, श्यावः, सर्वो, अत्यय, पराशर (सरयाश), तमो वृष्टिः, शोषणो, अति प्रभञ्जकः (प्रजुन्तक)",11/12?,,,धरः सूर्यस्तमो वश्योः चरः पर्वायनस्तथा । शरः पापस्तथावृष्टिशोषणो विप्रजृम्भणम् ॥२०६॥,
